Kingdom Phylum Class Order Family Genus Species
ASV138 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV139 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV140 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV141 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV142 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV143 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV144 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV145 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV146 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV147 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium s__C1_JN558041
ASV148 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV149 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV150 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV151 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV152 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV153 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV154 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV155 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV156 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV157 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV158 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV159 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV160 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV161 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV162 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Durusdinium NA
ASV163 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV164 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV165 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV166 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium s__C32.2_JF683336
ASV167 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV168 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV169 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV170 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV171 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Durusdinium s__D1_AF334660
ASV172 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV173 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV174 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV175 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV176 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV177 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV178 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV179 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV180 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV181 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV182 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV183 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV184 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium s__C32.1_JF683335
