#SampleID	InputFileName	CoralTag	SampleType	Year	TubeNumber	Coral_Species	Site	Status	Year_Pre_Post
KI15bFSYM013	KI15bFSYM013_MERGED-MAX-MISMATCH-3	87	coral	2015May	13	Porites_lobata	35	UK	2015May
KI14FSYM088	KI14FSYM088_MERGED-MAX-MISMATCH-3	88	coral	2014	88	Pocillopora_eydouxi	35	dead	2014
KI15aFSYM016	KI15aFSYM016_MERGED-MAX-MISMATCH-3	88	coral	2015Jan	16	Pocillopora_eydouxi	35	dead	2015Jan_Pre
KI15aFSYM095	KI15aFSYM095_MERGED-MAX-MISMATCH-3	88	coral	2015Jan	95	Pocillopora_eydouxi	35	dead	2015Jan_Post
KI15bFSYM018	KI15bFSYM018_MERGED-MAX-MISMATCH-3	88	coral	2015May	18	Pocillopora_eydouxi	35	dead	2015May
KI14FSYM094	KI14FSYM094_MERGED-MAX-MISMATCH-3	94	coral	2014	94	Montipora_foliosa	35	dead	2014
KI15aFSYM022	KI15aFSYM022_MERGED-MAX-MISMATCH-3	94	coral	2015Jan	22	Montipora_foliosa	35	dead	2015Jan_Pre
KI15aFSYM101	KI15aFSYM101_MERGED-MAX-MISMATCH-3	94	coral	2015Jan	101	Montipora_foliosa	35	dead	2015Jan_Post
KI14FSYM097	KI14FSYM097_MERGED-MAX-MISMATCH-3	97	coral	2014	97	Porites_lobata	35	UK	2014
KI15aFSYM100	KI15aFSYM100_MERGED-MAX-MISMATCH-3	97	coral	2015Jan	100	Porites_lobata	35	UK	2015Jan_Post
KI15bFSYM024	KI15bFSYM024_MERGED-MAX-MISMATCH-3	97	coral	2015May	24	Porites_lobata	35	UK	2015May
KI14FSYM098	KI14FSYM098_MERGED-MAX-MISMATCH-3	98	coral	2014	98	Montipora_foliosa	35	dead	2014
KI15aFSYM102	KI15aFSYM102_MERGED-MAX-MISMATCH-3	98	coral	2015Jan	102	Montipora_foliosa	35	dead	2015Jan_Post
KI15bFSYM025	KI15bFSYM025_MERGED-MAX-MISMATCH-3	98	coral	2015May	25	Montipora_foliosa	35	dead	2015May
KI14FSYM102	KI14FSYM102_MERGED-MAX-MISMATCH-3	102	coral	2014	102	Montipora_foliosa	35	dead	2014
KI15aFSYM106	KI15aFSYM106_MERGED-MAX-MISMATCH-3	102	coral	2015Jan	106	Montipora_foliosa	35	dead	2015Jan_Post
KI15bFSYM027	KI15bFSYM027_MERGED-MAX-MISMATCH-3	102	coral	2015May	27	Montipora_foliosa	35	dead	2015May
KI14FSYM105	KI14FSYM105_MERGED-MAX-MISMATCH-3	105	coral	2014	105	Montipora_foliosa	35	dead	2014
KI15aFSYM108	KI15aFSYM108_MERGED-MAX-MISMATCH-3	105	coral	2015Jan	108	Montipora_foliosa	35	dead	2015Jan_Post
KI15bFSYM029	KI15bFSYM029_MERGED-MAX-MISMATCH-3	105	coral	2015May	29	Montipora_foliosa	35	dead	2015May
KI14FSYM106	KI14FSYM106_MERGED-MAX-MISMATCH-3	106	coral	2014	106	Pocillopora_eydouxi	35	dead	2014
KI15aFSYM107	KI15aFSYM107_MERGED-MAX-MISMATCH-3	106	coral	2015Jan	107	Pocillopora_eydouxi	35	dead	2015Jan_Post
KI15bFSYM028	KI15bFSYM028_MERGED-MAX-MISMATCH-3	106	coral	2015May	28	Pocillopora_eydouxi	35	dead	2015May
KI14FSYM107	KI14FSYM107_MERGED-MAX-MISMATCH-3	107	coral	2014	107	Porites_lobata	35	UK	2014
KI15aFSYM109	KI15aFSYM109_MERGED-MAX-MISMATCH-3	107	coral	2015Jan	109	Porites_lobata	35	UK	2015Jan_Post
KI14FSYM109	KI14FSYM109_MERGED-MAX-MISMATCH-3	109	coral	2014	109	Pocillopora_eydouxi	35	dead	2014
KI15aFSYM110	KI15aFSYM110_MERGED-MAX-MISMATCH-3	109	coral	2015Jan	110	Pocillopora_eydouxi	35	dead	2015Jan_Post
